"interage_com_nome","NOCTAL"
"interage_com_farmaco","estazolam"
"interage_com_laboratorio","Abbott"
"interage_com_farmaco","estazolam"
"interage_com_farmaco","estazolam"
"indicacao_para_doenca","insônia"
"indicacao_para_doenca","insônia"
"indicacao_para_doenca","insônia"
"indicacao_para_sintoma","sintoma"
"contra_indicado_para_doenca","alergia"
"contra_indicado_para_doenca","miastenia grave"
"contra_indicado_para_doenca","glaucoma"
"contra_indicado_para_doenca","HIPERSENSIBILIDADE"
"contra_indicado_para_doenca","DEPRESSÃO"
"provoca_reacao_sintoma","tontura"
"provoca_reacao_sintoma","TONTURA"
"provoca_reacao_sintoma","Astenia"
"provoca_reacao_sintoma","Náusea"
"provoca_reacao_doenca","Dispepsia"
"provoca_reacao_sintoma","Dispepsia"
"provoca_reacao_sintoma","Tontura"
"provoca_reacao_doenca","Ressaca"
"provoca_reacao_doenca","Depressão"
"provoca_reacao_doenca","Faringite"
"provoca_reacao_sintoma","Faringite"
"provoca_reacao_doenca","Prurido"
"provoca_reacao_sintoma","Prurido"
"provoca_reacao_sintoma","FEBRE"
"provoca_reacao_doenca","ERITEMA"
"provoca_reacao_sintoma","ERITEMA"
"provoca_reacao_sintoma","PALPITAÇÃO"
"provoca_reacao_sintoma","FLATULÊNCIA"
"provoca_reacao_doenca","GASTRITE"
"provoca_reacao_doenca","ENTEROCOLITE"
"provoca_reacao_doenca","MELENA"
"provoca_reacao_sintoma","MELENA"
"provoca_reacao_doenca","NÓDULO"
"provoca_reacao_doenca","LEUCOPENIA"
"provoca_reacao_sintoma","PERDA DE PESO"
"provoca_reacao_doenca","PERDA DE PESO"
"provoca_reacao_doenca","ARTRITE"
"provoca_reacao_sintoma","ESPASMO"
"provoca_reacao_sintoma","MIALGIA"
"provoca_reacao_doenca","MIALGIA"
"provoca_reacao_doenca","ARTRALGIA"
"provoca_reacao_doenca","ANSIEDADE"
"provoca_reacao_sintoma","ANSIEDADE"
"provoca_reacao_sintoma","AMNÉSIA"
"provoca_reacao_doenca","AMNÉSIA"
"provoca_reacao_doenca","PARESTESIA"
"provoca_reacao_sintoma","PARESTESIA"
"provoca_reacao_sintoma","CONVULSÃO"
"provoca_reacao_doenca","CONVULSÃO"
"provoca_reacao_sintoma","TIQUE"
"provoca_reacao_doenca","TIQUE"
"provoca_reacao_sintoma","ATAXIA"
"provoca_reacao_sintoma","PARESTESIA"
"provoca_reacao_doenca","PARESTESIA"
"provoca_reacao_sintoma","TREMOR"
"provoca_reacao_doenca","ASMA"
"provoca_reacao_sintoma","TOSSE"
"provoca_reacao_doenca","RINITE"
"provoca_reacao_doenca","SINUSITE"
"provoca_reacao_doenca","EPISTAXE"
"provoca_reacao_sintoma","EPISTAXE"
"provoca_reacao_sintoma","HIPERVENTILAÇÃO"
"provoca_reacao_doenca","LARINGITE"
"provoca_reacao_sintoma","ERITEMA"
"provoca_reacao_doenca","ERITEMA"
"provoca_reacao_doenca","URTICÁRIA"
"provoca_reacao_doenca","ACNE"
"provoca_reacao_doenca","FOTOFOBIA"
"provoca_reacao_sintoma","DIPLOPIA"
"provoca_reacao_doenca","DIPLOPIA"
"provoca_reacao_sintoma","INCONTINÊNCIA URINÁRIA"
"provoca_reacao_doenca","INCONTINÊNCIA URINÁRIA"
"provoca_reacao_sintoma","PRURIDO"
"provoca_reacao_doenca","PRURIDO"
"provoca_reacao_doenca","HEMATÚRIA"
"provoca_reacao_sintoma","NOCTÚRIA"
"provoca_reacao_doenca","NOCTÚRIA"
"provoca_reacao_sintoma","OLIGÚRIA"
"provoca_reacao_sintoma","INCONTINÊNCIA URINÁRIA"
"provoca_reacao_doenca","INCONTINÊNCIA URINÁRIA"
"provoca_reacao_doenca","AGRANULOCITOSE"
