"interage_com_nome","Mantidan"
"interage_com_farmaco","cloridrato de amantadina"
"indicacao_para_doenca","parkinsonismo"
"indicacao_para_doenca","doença de parkinson"
"indicacao_para_doenca","parkinsonismo"
"indicacao_para_doenca","encefalite"
"indicacao_para_doenca","parkinsonismo"
"indicacao_para_doenca","intoxicação"
"indicacao_para_doenca","epilepsia"
"indicacao_para_doenca","hipersensibilidade"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_doenca","insônia"
"provoca_reacao_doenca","depressão"
"provoca_reacao_sintoma","ansiedade"
"provoca_reacao_doenca","ansiedade"
"provoca_reacao_sintoma","irritabilidade"
"provoca_reacao_doenca","irritabilidade"
"provoca_reacao_sintoma","ataxia"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_doenca","Insuficiência cardíaca"
"provoca_reacao_doenca","psicose"
"provoca_reacao_sintoma","retenção urinária"
"provoca_reacao_sintoma","amnésia"
"provoca_reacao_doenca","amnésia"
"provoca_reacao_doenca","leucopenia"
"provoca_reacao_doenca","neutropenia"
"provoca_reacao_doenca","dermatite"
"provoca_reacao_doenca","hipertonia"
"provoca_reacao_doenca","edema pulmonar"
"provoca_reacao_sintoma","disfagia"
"provoca_reacao_doenca","leucocitose"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","prurido"
