"interage_com_farmaco","eritromicina"
"contra_indicado_para_doenca","hipersensibilidade"
"provoca_reacao_doenca","estomatite"
"provoca_reacao_sintoma","estomatite"
"provoca_reacao_doenca","prurido anal"
"provoca_reacao_sintoma","prurido anal"
"provoca_reacao_doenca","Esofagite"
"provoca_reacao_doenca","Colite pseudomembranosa"
"provoca_reacao_doenca","neutropenia"
"provoca_reacao_doenca","leucopenia"
"provoca_reacao_doenca","agranulocitose"
"provoca_reacao_doenca","eosinofilia"
"provoca_reacao_doenca","anemia"
"provoca_reacao_doenca","pancitopenia"
"provoca_reacao_doenca","hipersensibilidade"
"provoca_reacao_doenca","anafilaxia"
"provoca_reacao_doenca","eritema multiforme"
"provoca_reacao_doenca","hipersensibilidade"
"provoca_reacao_doenca","hipersensibilidade"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","prurido"
"provoca_reacao_doenca","urticária"
"provoca_reacao_doenca","vaginite"
"provoca_reacao_doenca","dermatite"
"provoca_reacao_doenca","icterícia"
"provoca_reacao_doenca","insuficiência renal"
"provoca_reacao_sintoma","azotemia"
"provoca_reacao_doenca","azotemia"
"provoca_reacao_sintoma","oligúria"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_doenca","abscesso"
"provoca_reacao_sintoma","vertigem"
