"interage_com_nome","VIBRAL"
"interage_com_farmaco","dropropizina"
"interage_com_farmaco","dropropizina"
"indicacao_para_sintoma","tosse"
"indicacao_para_sintoma","tosse"
"contra_indicado_para_doenca","alergia"
"contra_indicado_para_doenca","hipotensão"
"contra_indicado_para_sintoma","tosse"
"contra_indicado_para_sintoma","tosse"
"contra_indicado_para_doenca","hipotensão"
"contra_indicado_para_sintoma","tosse"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_doenca","hipersensibilidade"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_sintoma","náusea"
