"interage_com_nome","HYDREA"
"interage_com_farmaco","hidroxiuréia"
"interage_com_farmaco","hidroxiuréia"
"interage_com_farmaco","hidroxiuréia"
"indicacao_para_doenca","leucemia"
"indicacao_para_doenca","melanoma"
"indicacao_para_doenca","carcinoma"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","hipersensibilidade"
"provoca_reacao_sintoma","estomatite"
"provoca_reacao_doenca","estomatite"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_doenca","anemia"
"provoca_reacao_doenca","Vasculite"
"provoca_reacao_doenca","vasculite"
"provoca_reacao_doenca","gangrena"
"provoca_reacao_doenca","vasculite"
"provoca_reacao_doenca","vasculite"
"provoca_reacao_doenca","policitemia vera"
"provoca_reacao_doenca","leucemia"
"provoca_reacao_doenca","Câncer de pele"
"provoca_reacao_doenca","atrofia"
"provoca_reacao_doenca","Depressão"
"provoca_reacao_doenca","leucopenia"
"provoca_reacao_doenca","anemia"
"provoca_reacao_doenca","trombocitopenia"
"provoca_reacao_doenca","Estomatite"
"provoca_reacao_sintoma","Estomatite"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_sintoma","eritema"
"provoca_reacao_doenca","eritema"
"provoca_reacao_doenca","eritema"
"provoca_reacao_sintoma","eritema"
"provoca_reacao_doenca","dermatomiosite"
"provoca_reacao_doenca","eritema"
"provoca_reacao_sintoma","eritema"
"provoca_reacao_doenca","atrofia"
"provoca_reacao_doenca","alopécia"
"provoca_reacao_doenca","Alopécia"
"provoca_reacao_doenca","Câncer de pele"
"provoca_reacao_doenca","Vasculite"
"provoca_reacao_doenca","gangrena"
"provoca_reacao_doenca","vasculite"
"provoca_reacao_sintoma","tontura"
"provoca_reacao_sintoma","disúria"
"provoca_reacao_sintoma","Febre"
"provoca_reacao_sintoma","astenia"
"provoca_reacao_doenca","fibrose"
"provoca_reacao_doenca","pancreatite"
"provoca_reacao_doenca","neuropatia"
"provoca_reacao_doenca","depressão"
"provoca_reacao_doenca","leucopenia"
"provoca_reacao_doenca","anemia"
"provoca_reacao_doenca","leucopenia"
"provoca_reacao_doenca","Trombocitopenia"
"provoca_reacao_doenca","leucopenia"
"provoca_reacao_sintoma","náusea"
