"interage_com_nome","Efexor XR"
"indicacao_para_doenca","depressão"
"indicacao_para_doenca","depressão"
"indicacao_para_sintoma","ansiedade"
"indicacao_para_doenca","ansiedade"
"indicacao_para_doenca","depressão"
"indicacao_para_sintoma","ansiedade"
"indicacao_para_doenca","ansiedade"
"indicacao_para_doenca","transtorno de ansiedade generalizada"
"indicacao_para_sintoma","ansiedade"
"indicacao_para_doenca","ansiedade"
"indicacao_para_doenca","fobia social"
"contra_indicado_para_doenca","Hipersensibilidade"
"provoca_reacao_doenca","transtorno de ansiedade generalizada"
"provoca_reacao_doenca","fobia social"
"provoca_reacao_doenca","transtorno do pânico"
"provoca_reacao_doenca","perda de peso"
"provoca_reacao_sintoma","perda de peso"
"provoca_reacao_doenca","suicídio"
"provoca_reacao_sintoma","dispepsia"
"provoca_reacao_doenca","dispepsia"
"provoca_reacao_doenca","equimose"
"provoca_reacao_doenca","epistaxe"
"provoca_reacao_sintoma","epistaxe"
"provoca_reacao_doenca","mialgia"
"provoca_reacao_sintoma","mialgia"
"provoca_reacao_doenca","transtorno de ansiedade generalizada"
"provoca_reacao_doenca","fobia social"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_sintoma","tontura"
"provoca_reacao_doenca","anorgasmia"
"provoca_reacao_sintoma","flatulência"
"provoca_reacao_doenca","insônia"
"provoca_reacao_sintoma","tremor"
"provoca_reacao_doenca","Transtorno de Ansiedade Generalizada"
"provoca_reacao_doenca","transtorno de ansiedade generalizada"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_doenca","Fobia Social"
