"interage_com_nome","CEBRALAT"
"interage_com_farmaco","cetoconazol"
"interage_com_farmaco","eritromicina"
"interage_com_farmaco","omeprazol"
"interage_com_farmaco","cilostazol"
"interage_com_farmaco","cilostazol"
"interage_com_farmaco","cilostazol"
"indicacao_para_sintoma","sintoma"
"indicacao_para_doenca","claudicação intermitente"
"indicacao_para_sintoma","claudicação intermitente"
"indicacao_para_doenca","acidente vascular cerebral"
"indicacao_para_sintoma","sintoma"
"indicacao_para_sintoma","claudicação intermitente"
"indicacao_para_doenca","claudicação intermitente"
"indicacao_para_doenca","acidente vascular cerebral"
"indicacao_para_doenca","insuficiência cardíaca"
"indicacao_para_doenca","hipersensibilidade"
"indicacao_para_doenca","úlcera péptica"
"indicacao_para_doenca","hemorragia"
"contra_indicado_para_doenca","insuficiência cardíaca"
"contra_indicado_para_doenca","insuficiência cardíaca"
"contra_indicado_para_doenca","hemorragia"
"contra_indicado_para_doenca","hemorragia"
"provoca_reacao_doenca","urticária"
"provoca_reacao_sintoma","Febre"
"provoca_reacao_sintoma","tosse"
"provoca_reacao_sintoma","Tontura"
"provoca_reacao_sintoma","suor"
"provoca_reacao_doenca","Hemorragia"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_sintoma","Cãibra"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_sintoma","tontura"
"provoca_reacao_sintoma","febre"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_sintoma","Palpitação"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_doenca","flutter atrial"
"provoca_reacao_doenca","insuficiência cardíaca"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_doenca","trombose"
"provoca_reacao_doenca","dispepsia"
"provoca_reacao_sintoma","dispepsia"
"provoca_reacao_sintoma","flatulência"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_doenca","colelitíase"
"provoca_reacao_doenca","colite"
"provoca_reacao_doenca","duodenite"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_doenca","esofagite"
"provoca_reacao_doenca","gastrite"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_sintoma","hematemese"
"provoca_reacao_doenca","hematemese"
"provoca_reacao_doenca","melena"
"provoca_reacao_sintoma","melena"
"provoca_reacao_doenca","úlcera péptica"
"provoca_reacao_doenca","abscesso"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_doenca","Hemorragia"
"provoca_reacao_doenca","Diabetes mellitus"
"provoca_reacao_doenca","icterícia"
"provoca_reacao_doenca","Anemia"
"provoca_reacao_doenca","equimose"
"provoca_reacao_doenca","anemia ferropriva"
"provoca_reacao_doenca","Agranulocitose"
"provoca_reacao_doenca","trombocitopenia"
"provoca_reacao_doenca","leucopenia"
"provoca_reacao_doenca","hiperuricemia"
"provoca_reacao_doenca","Mialgia"
"provoca_reacao_sintoma","Mialgia"
"provoca_reacao_doenca","Artralgia"
"provoca_reacao_doenca","bursite"
"provoca_reacao_sintoma","Tontura"
"provoca_reacao_sintoma","vertigem"
"provoca_reacao_doenca","Ansiedade"
"provoca_reacao_sintoma","Ansiedade"
"provoca_reacao_doenca","insônia"
"provoca_reacao_doenca","Hemorragia"
"provoca_reacao_sintoma","Tosse"
"provoca_reacao_doenca","faringite"
"provoca_reacao_sintoma","faringite"
"provoca_reacao_doenca","rinite"
"provoca_reacao_doenca","Asma"
"provoca_reacao_sintoma","epistaxe"
"provoca_reacao_doenca","epistaxe"
"provoca_reacao_sintoma","hemoptise"
"provoca_reacao_doenca","pneumonia"
"provoca_reacao_doenca","sinusite"
"provoca_reacao_doenca","Hemorragia"
"provoca_reacao_doenca","pneumonia"
"provoca_reacao_doenca","hipertrofia"
"provoca_reacao_doenca","urticária"
"provoca_reacao_doenca","Hemorragia"
"provoca_reacao_doenca","prurido"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","dermatite"
"provoca_reacao_doenca","Ambliopia"
"provoca_reacao_doenca","cegueira"
"provoca_reacao_doenca","conjuntivite"
"provoca_reacao_sintoma","diplopia"
"provoca_reacao_doenca","diplopia"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_doenca","cistite"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_doenca","vaginite"
"provoca_reacao_doenca","insuficiência cardíaca"
"provoca_reacao_doenca","trombose"
"provoca_reacao_doenca","hematoma"
