"interage_com_nome","ALENIA"
"interage_com_farmaco","fumarato de formoterol"
"interage_com_farmaco","budesonida"
"interage_com_farmaco","budesonida"
"interage_com_farmaco","cetoconazol"
"interage_com_farmaco","budesonida"
"interage_com_farmaco","budesonida"
"interage_com_farmaco","budesonida"
"indicacao_para_doenca","Asma"
"indicacao_para_doenca","asma"
"indicacao_para_doenca","doença pulmonar obstrutiva crônica"
"contra_indicado_para_doenca","asma"
"contra_indicado_para_doenca","Hipersensibilidade"
"provoca_reacao_sintoma","tosse"
"provoca_reacao_doenca","insônia"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_sintoma","tremor"
"provoca_reacao_doenca","candidíase"
"provoca_reacao_sintoma","tremor"
"provoca_reacao_sintoma","tosse"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_sintoma","tontura"
"provoca_reacao_sintoma","ansiedade"
"provoca_reacao_doenca","ansiedade"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_doenca","hipersensibilidade"
"provoca_reacao_doenca","dermatite"
"provoca_reacao_doenca","exantema"
"provoca_reacao_doenca","urticária"
"provoca_reacao_doenca","prurido"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","equimose"
"provoca_reacao_doenca","angina"
"provoca_reacao_doenca","hiperglicemia"
"provoca_reacao_doenca","depressão"
