"interage_com_nome","Annita"
"interage_com_farmaco","fenitoína"
"indicacao_para_doenca","Hymenolepis nana"
"indicacao_para_doenca","disenteria"
"indicacao_para_doenca","Hymenolepis nana"
"indicacao_para_doenca","disenteria"
"contra_indicado_para_doenca","doença renal"
"contra_indicado_para_doenca","doença renal"
"contra_indicado_para_doenca","Hipersensibilidade"
"contra_indicado_para_doenca","alergia"
"contra_indicado_para_doenca","doença renal"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","alergia"
"provoca_reacao_sintoma","cólica"
"provoca_reacao_doenca","cólica"
"provoca_reacao_sintoma","flatulência"
"provoca_reacao_doenca","dispepsia"
"provoca_reacao_sintoma","dispepsia"
"provoca_reacao_doenca","Hiperidrose"
"provoca_reacao_doenca","insônia"
"provoca_reacao_doenca","metrorragia"
"provoca_reacao_doenca","mialgia"
"provoca_reacao_sintoma","mialgia"
"provoca_reacao_sintoma","febre"
"provoca_reacao_doenca","doença renal"
"provoca_reacao_sintoma","disúria"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","prurido"
