"interage_com_nome","LIPANON"
"interage_com_farmaco","FENOFIBRATO"
"interage_com_farmaco","FENOFIBRATO"
"interage_com_farmaco","FENOFIBRATO"
"interage_com_farmaco","FENOFIBRATO"
"interage_com_farmaco","FENOFIBRATO"
"interage_com_farmaco","FENOFIBRATO"
"interage_com_farmaco","FENOFIBRATO"
"interage_com_farmaco","GLIBENCLAMIDA"
"interage_com_farmaco","ERITROMICINA"
"indicacao_para_doenca","Hipercolesterolemia"
"indicacao_para_doenca","hipertrigliceridemia"
"contra_indicado_para_doenca","HIPERSENSIBILIDADE"
"contra_indicado_para_doenca","INSUFICIÊNCIA HEPÁTICA"
"contra_indicado_para_doenca","CIRROSE BILIAR PRIMÁRIA"
"contra_indicado_para_doenca","INSUFICIÊNCIA RENAL"
"provoca_reacao_doenca","INSÔNIA"
"provoca_reacao_doenca","DISPEPSIA"
"provoca_reacao_sintoma","DISPEPSIA"
"provoca_reacao_sintoma","FLATULÊNCIA"
"provoca_reacao_doenca","DISFUNÇÃO SEXUAL"
"provoca_reacao_doenca","RABDOMIÓLISE"
"provoca_reacao_doenca","ARTRALGIA"
"provoca_reacao_sintoma","MIALGIA"
"provoca_reacao_doenca","MIALGIA"
"provoca_reacao_sintoma","ERITEMA"
"provoca_reacao_doenca","ERITEMA"
"provoca_reacao_sintoma","PRURIDO"
"provoca_reacao_doenca","PRURIDO"
"provoca_reacao_doenca","URTICÁRIA"
"provoca_reacao_doenca","ECZEMA"
"provoca_reacao_doenca","ALOPÉCIA"
