FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Abacavir (sulfato);glaxosmithkline;ZIAgENAVIR;20mg/mL;solç or
Abacavir (sulfato);glaxosmithkline;ZIAgENAVIR;300mg;comp rev
Acebrofilina;Aché;BRONDILAT;10mg/mL;xpe
Acebrofilina;Aché;BRONDILAT;5mg/mL;xpe
Aceclofenaco;Eurofarma;PROFLAM;100mg;comp rev
Aceclofenaco;Eurofarma;PROFLAM;15mg/g;crem derm
Acetazolamida;União Química;DIAMOX;250mg;comp
Acetilcisteína;Zambon;FLUimUCIL;100mg;gran
Acetilcisteína;Zambon;FLUimUCIL;11,5mg/mL;solç nas
Acetilcisteína;Zambon;FLUimUCIL;200mg;gran
Acetilcisteína;Zambon;FLUimUCIL;20mg/mL;xpe
Acetilcisteína;Zambon;FLUimUCIL;40mg/mL;xpe
Acetilcisteína;Zambon;FLUimUCIL;600mg;gran
Acetilcisteína;Zambon;FLUimUCIL;600mg;comp eferv
Acetilcisteína;Zambon;FLUimUCIL;100mg/mL;solç inj
Acetilsalicílico, ácido;Bayer;ASPIRINA;500mg;comp
Acetilsalicílico, ácido;Bayer;ASPIRINA;100mg;comp
Acetilsalicílico, ácido;Bayer;ASPIRINA;500mg;comp eferv
Acetilsalicílico, ácido;Bayer;ASPIRINA BUFFERED;500mg;comp (tamponado)
Acetilsalicílico, ácido;Bayer;ASPIRINA PREVENT;100mg;comp rev
Acetilsalicílico, ácido;Bayer;ASPIRINA PREVENT;300mg;comp rev
Acetilsalicílico, ácido;Novartis Biociências;BUFFERIN CARDIO;81mg;comp rev
Aciclovir;glaxosmithkline;ZOVIRAX;0,03g/g;pomd oft
Aciclovir;glaxosmithkline;ZOVIRAX;200mg;comp
Aciclovir;glaxosmithkline;ZOVIRAX;250mg;po liof solç inj
Aciclovir;glaxosmithkline;ZOVIRAX;50mg/g;crem derm
Aciclovir;Merck S/A;ACICLOVIR;400mg;comp
Acitretina;Roche;NEOTIgASON;10mg;caps gelat dura
Acitretina;Roche;NEOTIgASON;25mg;caps gelat dura
Adapaleno;galderma;DIFFERIN;1mg/g;gel
Adapaleno;galderma;DIFFERIN;1mg/g;crem derm
Adenosina;Libbs;ADENOCARD;3mg/mL;solç inj
Albendazol;glaxosmithkline;ZENTEL;200mg;comp
Albendazol;glaxosmithkline;ZENTEL;400mg;comp mast
Albendazol;glaxosmithkline;ZENTEL;40mg/mL;susp or
Alendronato de sódio;Merck Sharp & Dohme;FOSAMAX;70mg (como ácido alendrônico);comp
Alendronato de sódio;Solvay Farma;ENDRONAX;10mg (como ácido alendrônico);comp
Alfaestradiol;galderma;AVICIS;0,25mg/mL;solç top capilar 
Alfentanila (cloridrato);Janssen Cilag;RAPIFEN;0,544mg/mL;solç inj
Alfuzosina (cloridrato);Sanofi-Aventis;XATRAL OD;10mg;comp rev
Alopurinol;glaxosmithkline;ZYLORIC;100mg;comp
Alopurinol;glaxosmithkline;ZYLORIC;300mg;comp
Alprazolam;Pfizer;FRONTAL;0,25mg;comp
Alprazolam;Pfizer;FRONTAL;0,5mg;comp
Alprazolam;Pfizer;FRONTAL;1mg;comp
Alprazolam;Pfizer;FRONTAL;2mg;comp
Alprazolam;Pharmacia;FRONTAL XR;0,5mg;comp lib lenta
Alprazolam;Pharmacia;FRONTAL XR;1mg;comp lib lenta
Alprazolam;Pharmacia;FRONTAL XR;2mg;comp lib lenta
Alprostadil;Opem;BEDFORDALPROST;500mcg;solç inj
Alprostadil;Biosintética;PROSTAVASIN;20mcg;po liof inj
Alprostadil;Libbs;APLICAV;10mcg/mL;po liof inj
Alprostadil;Libbs;APLICAV;20mcg/mL;po liof inj
Alprostadil;Libbs;APLICAV;5,0mcg/mL;po liof inj
Alumínio (hidróxido);Greenpharma;gASTROX;300mg;comp
Alumínio (hidróxido);Sanofi-Aventis;PEPSAMAR;230mg;comp mast
Alumínio (hidróxido);Sanofi-Aventis;PEPSAMAR;61,5mg/mL;susp or
Amantadina (cloridrato);Eurofarma;MANTIDAN;100mg;comp
Ambroxol (cloridrato);Abbott;MUCOLIN;30mg;comp
Ambroxol (cloridrato);Boehringer Ingelheim;MUCOSOLVAN;3,0mg/mL;xpe
Ambroxol (cloridrato);Boehringer Ingelheim;MUCOSOLVAN;6,0mg/mL;xpe
Ambroxol (cloridrato);Boehringer Ingelheim;MUCOSOLVAN;7,5mg/mL;solç or (gotas)
Amicacina (sulfato);Bristol Myers Squibb;NOVAMIN;250mg/mL;solç inj
Amicacina (sulfato);Bristol Myers Squibb;NOVAMIN;50mg/mL;solç inj
Amicacina (sulfato);Bristol Myers Squibb;NOVAMIN;125mg/mL;solç inj
Amifostina;Schering Plough;ETHYOL;500mg;po liof inj
Aminofilina;Ariston;MINOTON;24mg/mL;solç inj
Aminofilina;Novartis Biociências;AMINOFILINA SANDOZ;100mg;comp
Aminofilina;Novartis Biociências;AMINOFILINA SANDOZ;200mg;comp
Aminofilina;Novartis Biociências;AMINOFILINA SANDOZ;240mg/mL;solç or
Amiodarona (cloridrato);Sanofi-Aventis;ATLANSIL;100mg;comp
Amiodarona (cloridrato);Sanofi-Aventis;ATLANSIL;200mg;comp
Amiodarona (cloridrato);Sanofi-Aventis;ATLANSIL;50mg/mL;solç inj
Amisulprida;Sanofi-Aventis;SOCIAN;200mg;comp
Amisulprida;Sanofi-Aventis;SOCIAN;50mg;comp
Amitriptilina (cloridrato);Merck Sharp & Dohme;TRYPTANOL;25mg;comp rev
Amitriptilina (cloridrato);Merck Sharp & Dohme;TRYPTANOL;75mg;comp rev
Amorolfina;galderma;LOCERYL;50mg/mL;esml
Amoxacilina;glaxosmithkline;AMOXIL;50mg/mL;po susp or
Amoxacilina;glaxosmithkline;AMOXIL;125mg/5mL;po susp or
Amoxacilina;glaxosmithkline;AMOXIL;250mg/5mL;po susp or
Amoxacilina;glaxosmithkline;AMOXIL;500mg;caps gelat dura 
Amoxacilina;glaxosmithkline;AMOXIL;500mg/5mL;po susp or
Amoxacilina;glaxosmithkline;AMOXIL BD;400mg/5mL;po susp or
Amoxacilina;glaxosmithkline;AMOXIL BD;200mg/5mL;po susp or
Amoxacilina;glaxosmithkline;AMOXIL BD;875mg;comp rev
Amoxacilina;germed;VELAMOX;500mg;comp
Ampicilina;Bayer;BINOTAL;1000mg;comp
Ampicilina;Bayer;BINOTAL;500mg;comp
Ampicilina;Eurofarma;AMPLACILINA;500mg;caps gelat dura 
Ampicilina;Eurofarma;AMPLACILINA;50mg/mL;po susp or
Ampicilina sódica;Eurofarma;AMPLACILINA;1000mg;po solç inj
Ampicilina sódica;Novafarma;AMPLATIL;500mg;po solç inj
Amprenavir;glaxosmithkline;AgENERASE;150mg;caps gelat mole
Amprenavir;glaxosmithkline;AgENERASE;15mg/mL;solç or
Anastrozol;Astrazeneca;ARimIDEX;1mg;comp rev
Anfepramona (cloridrato);germed;HIPOFAgIN S;25mg;comp
Anfepramona (cloridrato);germed;HIPOFAgIN S;75mg;comp desint lenta
Anfotericina B;Merck S/A;ABELCET;5,0mg/mL;susp inj
Anfotericina B;Cristália;ANFORICIN B;50mg;po liof inj
Anfotericina B (lipossomal);United Medical;AMBISOME;50mg;po liof inj
