"indicacao_para_sintoma","tosse"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","alergia"
"contra_indicado_para_doenca","hipersensibilidade"
"provoca_reacao_doenca","Alergia"
"provoca_reacao_doenca","rinite"
"provoca_reacao_doenca","conjuntivite"
"provoca_reacao_doenca","urticária"
"provoca_reacao_sintoma","Náusea"
"provoca_reacao_sintoma","sintoma"
"provoca_reacao_doenca","Alergia"
"provoca_reacao_doenca","urticária"
"provoca_reacao_doenca","alergia"
"provoca_reacao_sintoma","Náusea"
