"interage_com_nome","PERLUTAN"
"interage_com_farmaco","rifampicina"
"interage_com_farmaco","cloranfenicol"
"interage_com_farmaco","fenitoína"
"interage_com_farmaco","carbamazepina"
"interage_com_farmaco","isoniazida"
"interage_com_farmaco","nitrofurantoína"
"contra_indicado_para_doenca","nefropatia"
"contra_indicado_para_doenca","retinopatia"
"contra_indicado_para_doenca","neuropatia"
"contra_indicado_para_doenca","glaucoma"
"contra_indicado_para_doenca","anemia falciforme"
"contra_indicado_para_doenca","epilepsia"
"contra_indicado_para_doenca","icterícia"
"contra_indicado_para_doenca","prurido"
"contra_indicado_para_sintoma","prurido"
"contra_indicado_para_doenca","herpes"
"contra_indicado_para_doenca","obesidade"
"contra_indicado_para_doenca","enxaqueca"
"contra_indicado_para_sintoma","sintoma"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","hipersensibilidade"
"provoca_reacao_doenca","hemorragia"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","prurido"
"provoca_reacao_sintoma","Tontura"
"provoca_reacao_doenca","depressão"
"provoca_reacao_doenca","acne"
"provoca_reacao_doenca","hipersensibilidade"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","prurido"
"provoca_reacao_sintoma","tosse"
"provoca_reacao_doenca","trombose"
"provoca_reacao_doenca","enxaqueca"
