"interage_com_nome","Atensina"
"indicacao_para_sintoma","hipertensão arterial"
"indicacao_para_doenca","hipertensão arterial"
"contra_indicado_para_doenca","Hipersensibilidade"
"contra_indicado_para_doenca","nódulo"
"provoca_reacao_doenca","ginecomastia"
"provoca_reacao_doenca","depressão"
"provoca_reacao_sintoma","vertigem"
"provoca_reacao_sintoma","parestesia"
"provoca_reacao_doenca","parestesia"
"provoca_reacao_sintoma","bradicardia"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_doenca","fenômeno de Raynaud"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_doenca","alopécia"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","prurido"
"provoca_reacao_doenca","urticária"
"provoca_reacao_doenca","disfunção erétil"
