"interage_com_nome","TRISEQUENS"
"interage_com_farmaco","estradiol"
"interage_com_farmaco","estradiol"
"interage_com_farmaco","acetato de noretisterona"
"interage_com_farmaco","estradiol"
"interage_com_farmaco","fenobarbital"
"interage_com_farmaco","fenitoína"
"interage_com_farmaco","carbamazepina"
"interage_com_farmaco","rifampicina"
"interage_com_farmaco","nevirapina"
"interage_com_farmaco","efavirenz"
"interage_com_farmaco","ritonavir"
"interage_com_farmaco","cetoconazol"
"indicacao_para_doenca","osteoporose"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","alergia"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","angina"
"contra_indicado_para_doenca","angina"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","porfiria"
"contra_indicado_para_doenca","porfiria"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","angina"
"contra_indicado_para_doenca","angina"
"contra_indicado_para_doenca","porfiria"
"contra_indicado_para_doenca","porfiria"
"provoca_reacao_doenca","menorragia"
"provoca_reacao_doenca","candidíase"
"provoca_reacao_doenca","vaginite"
"provoca_reacao_doenca","depressão"
"provoca_reacao_doenca","depressão"
"provoca_reacao_doenca","enxaqueca"
"provoca_reacao_doenca","enxaqueca"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_doenca","distensão"
"provoca_reacao_doenca","câncer de mama"
"provoca_reacao_doenca","hipersensibilidade"
"provoca_reacao_sintoma","flatulência"
"provoca_reacao_doenca","alopécia"
"provoca_reacao_doenca","hirsutismo"
"provoca_reacao_doenca","acne"
"provoca_reacao_doenca","prurido"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","urticária"
"provoca_reacao_doenca","hiperplasia"
"provoca_reacao_doenca","embolia pulmonar"
"provoca_reacao_doenca","câncer endometrial"
"provoca_reacao_doenca","insônia"
"provoca_reacao_sintoma","ansiedade"
"provoca_reacao_doenca","ansiedade"
"provoca_reacao_sintoma","tontura"
"provoca_reacao_doenca","dispepsia"
"provoca_reacao_sintoma","dispepsia"
"provoca_reacao_doenca","colelitíase"
"provoca_reacao_doenca","colelitíase"
"provoca_reacao_doenca","prurido"
"provoca_reacao_sintoma","prurido"
"provoca_reacao_doenca","eritema multiforme"
"provoca_reacao_doenca","eritema nodoso"
