"interage_com_farmaco","mesilato de codergocrina"
"indicacao_para_sintoma","tontura"
"indicacao_para_doenca","depressão"
"indicacao_para_sintoma","hipertensão arterial"
"indicacao_para_doenca","hipertensão arterial"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_sintoma","bradicardia"
"contra_indicado_para_doenca","insuficiência hepática"
"contra_indicado_para_doenca","Hipersensibilidade"
"provoca_reacao_sintoma","vertigem"
"provoca_reacao_sintoma","bradicardia"
"provoca_reacao_doenca","hipotensão"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_doenca","fibrose"
"provoca_reacao_sintoma","Bradicardia"
"provoca_reacao_doenca","Hipotensão"
"provoca_reacao_doenca","Fibrose"
