"interacao","Efexor XR"
"indicacao","depressão"
"indicacao","depressão"
"indicacao","ansiedade"
"indicacao","ansiedade"
"indicacao","depressão"
"indicacao","ansiedade"
"indicacao","ansiedade"
"indicacao","transtorno de ansiedade generalizada"
"indicacao","ansiedade"
"indicacao","ansiedade"
"indicacao","fobia social"
"contraIndicacao","Hipersensibilidade"
"reacao","transtorno de ansiedade generalizada"
"reacao","fobia social"
"reacao","transtorno do pânico"
"reacao","perda de peso"
"reacao","perda de peso"
"reacao","suicídio"
"reacao","dispepsia"
"reacao","dispepsia"
"reacao","equimose"
"reacao","epistaxe"
"reacao","epistaxe"
"reacao","mialgia"
"reacao","mialgia"
"reacao","transtorno de ansiedade generalizada"
"reacao","fobia social"
"reacao","náusea"
"reacao","tontura"
"reacao","anorgasmia"
"reacao","flatulência"
"reacao","insônia"
"reacao","tremor"
"reacao","Transtorno de Ansiedade Generalizada"
"reacao","transtorno de ansiedade generalizada"
"reacao","náusea"
"reacao","Fobia Social"
