"interage_com_nome","BEROTEC"
"interage_com_farmaco","teofilina"
"interage_com_farmaco","halotano"
"interage_com_farmaco","enflurano"
"indicacao_para_doenca","asma"
"indicacao_para_doenca","asma"
"indicacao_para_doenca","asma"
"indicacao_para_doenca","asma"
"indicacao_para_doenca","Doença Pulmonar Obstrutiva Crônica"
"contra_indicado_para_doenca","hipersensibilidade"
"provoca_reacao_sintoma","tontura"
"provoca_reacao_sintoma","taquicardia"
"provoca_reacao_sintoma","mialgia"
"provoca_reacao_doenca","mialgia"
"provoca_reacao_sintoma","náusea"
"provoca_reacao_sintoma","tosse"
